iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
643,643,sup_demsys,77,1.0,False,False,4,3,7
688,688,sup_demsys,77,1.0,False,False,4,3,7
702,702,sup_demsys,77,1.0,False,False,3,4,7
704,704,sup_demsys,77,1.0,False,False,3,4,7
705,705,sup_demsys,77,1.0,False,False,3,3,6
716,716,sup_demsys,77,1.0,False,False,3,4,7
724,724,sup_demsys,77,1.0,False,False,4,3,6
76,76,sup_demsys,77,1.0,False,False,4,3,7
764,764,sup_demsys,77,1.0,False,False,3,5,7
804,804,sup_demsys,77,1.0,False,False,4,3,7
840,840,sup_demsys,77,1.0,False,False,5,3,7
858,858,sup_demsys,77,1.0,False,False,4,3,7
862,862,sup_demsys,77,1.0,False,False,3,3,7
112,Belarus,sup_demsys,77,1.0,False,False,2,3,6
70,Bosnia and Herzegovina,sup_demsys,77,1.0,False,False,2,3,4
100,Bulgaria,sup_demsys,77,1.0,False,False,2,3,5
124,Canada,sup_demsys,77,1.0,False,False,3,4,7
196,Cyprus,sup_demsys,77,1.0,False,False,3,5,7
818,Egypt,sup_demsys,77,1.0,False,False,4,4,7
233,Estonia,sup_demsys,77,1.0,False,False,2,3,6
246,Finland,sup_demsys,77,1.0,False,False,2,3,5
268,Georgia,sup_demsys,77,1.0,False,False,3,3,6
288,Ghana,sup_demsys,77,1.0,False,False,2,5,6
348,Hungary,sup_demsys,77,1.0,False,False,2,3,5
368,Iraq,sup_demsys,77,1.0,False,False,4,4,7
398,Kazakhstan,sup_demsys,77,1.0,False,False,2,6,7
422,Lebanon,sup_demsys,77,1.0,False,False,2,6,7
434,Libya,sup_demsys,77,1.0,False,False,2,6,7
484,Mexico,sup_demsys,77,1.0,False,False,5,3,7
807,North Macedonia,sup_demsys,77,1.0,False,False,2,3,4
578,Norway,sup_demsys,77,1.0,False,False,2,3,5
608,Philippines,sup_demsys,77,1.0,False,False,4,3,7
710,South Africa,sup_demsys,77,1.0,False,False,4,3,6
752,Sweden,sup_demsys,77,1.0,False,False,3,3,6
756,Switzerland,sup_demsys,77,1.0,False,False,2,3,5
780,Trinidad and Tobago,sup_demsys,77,1.0,False,False,2,5,6
792,Turkey,sup_demsys,77,1.0,False,False,5,3,7
826,United Kingdom,sup_demsys,77,1.0,False,False,2,5,7
